MaritalStatus,ApplicationMode,ApplicationOrder,Course,DaytimeEveningAttendance,PreviousQualification,PreviousQualificationGrade,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,International,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Status
Single,2nd Phase - General Contingent,5,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,122,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other - 11th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,127,Yes,0,0,1,Male,No,20,No,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Dropout
Single,International Student (Bachelor),1,Tourism,Daytime,Secondary Education - 12th Year of Schooling or Eq.,160,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,142,Yes,0,0,0,Male,No,19,No,0,6,6,6,14,0,0,6,6,6,13,0,13,0,0,Graduate
Single,1st Phase - General Contingent,5,Communication Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,122,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,124,Yes,0,0,0,Male,No,19,No,0,6,0,0,0,0,0,6,0,0,0,0,10,1,1,Dropout
Single,2nd Phase - General Contingent,2,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,122,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,119,Yes,0,0,1,Female,No,20,No,0,6,8,6,13,0,0,6,10,5,12,0,9,0,-3,Graduate
Married,Over 23 Years Old,1,Social Service (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,100,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,141,No,0,0,1,Female,No,45,No,0,6,9,5,12,0,0,6,6,6,13,0,13,0,0,Graduate
Married,Over 23 Years Old,1,Management (evening attendance),Evening,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",114,No,0,1,1,Male,No,50,No,0,5,10,5,11,0,0,5,17,5,11,5,16,0,0,Graduate
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,142,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,128,Yes,0,0,1,Female,Yes,18,No,0,7,9,7,13,0,0,8,8,8,14,0,15,2,-4,Graduate
Single,3rd Phase - General Contingent,4,Tourism,Daytime,Secondary Education - 12th Year of Schooling or Eq.,119,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,113,Yes,0,0,0,Male,No,22,No,0,5,5,0,0,0,0,5,5,0,0,0,15,2,-4,Dropout
Single,1st Phase - General Contingent,3,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,137,Romanian,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,129,No,0,0,1,Female,Yes,21,Yes,0,6,8,6,13,0,0,6,7,6,14,0,16,0,0,Graduate
Single,1st Phase - General Contingent,1,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,138,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",123,Yes,0,1,0,Female,No,18,No,0,6,9,5,11,0,0,6,14,2,13,0,8,1,3,Dropout
